127.0.0.1 - - [21/Oct/2015:14:30:02 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/login HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/jquery/jquery.modal.js HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/css/fullcalendar.css HTTP/1.1" 200 21496
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/jquery/jquery.min.js HTTP/1.1" 200 93109
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/underscore/underscore-min.js HTTP/1.1" 200 13450
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/jstimezonedetect/jstz.min.js HTTP/1.1" 200 5449
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/bootstrap3/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/bootstrap3/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 30005
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/js/fullcalendar.js HTTP/1.1" 200 236094
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/img/mavblue.jpg HTTP/1.1" 200 12936
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/bootstrap3/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/bootstrap3/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/bootstrap3/css/bootstrap.css HTTP/1.1" 200 132546
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/js/lib/moment.min.js HTTP/1.1" 200 31771
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/img/engineering.jpg HTTP/1.1" 200 166049
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:09 -0500] "GET /MavAppoint/components/bootstrap3/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [21/Oct/2015:14:30:10 -0500] "GET /favicon.ico HTTP/1.1" 404 973
